Timestamp,Strategy,Steps,Total Time,Restore Time,Manual Time,Description,Recognize Result,Kociemba Result,Solve2,Calc Time,Answer Cost
2025-05-12 15:21:33,Fast,67,27.000000,6.04,20.96,zzm,UFUBUUUUBLRBFRBUDDFLDFFDDRFFDRDDBLRBBLLFLUDLRLRRUBLRBF,F2 L2 F2 R F2 L U D2 F2 R F R2 D' L2 B2 U D2 B2 U' L2 ,L2 RO L2 RC R2 L2 RO L2 RC R1 RO R1 L2 RC L2  R1 LO R3 LC L2 LO R2 LC L1 RO L1 R1 RC R2 LO  R3 L1 LC L1 R1 RO R1 RC L2 LO R3 LC RO R1 L1  RC L3 R2 RO L1 RC LO L1 LC R2 L2 LO R2 L1 LC  L1 R2 L3 RO L1 RC R2 ,220ms,774 (False)
2025-05-12 16:19:44,Fast,60,99.999,99.99,99.999,test,RRRRURRRRBBBBRBBBBDDDDFDDDDLLLLDLLLLFFFFLFFFFUUUUBUUUU,U D R L F B U2 F2 R2 B2 D2 F2 L2 U' D' R2 ,R1 RO R1 L2 RC R1 RO R1 L1 RC L1 LO R2 LC L1  LO L1 R1 LC R1 RO L2 R1 RC R1 L2 RO L2 R1 RC  R2 LO R1 LC L2 R2 RO L2 R1 RC LO R1 LC L2 R2  RO L3 RC LO L1 LC R2 L3 LO L1 R2 L1 LC L3 R2  ,28ms,694 (False)
2025-05-21 22:06:34,Fast,78,8.114,5.43,2.684,pzr手贼慢,FLFFUBRBRDRUURRRFRUUFRFLBUDLRBLDDLFUDLBDLFUBDLDLDBBFUB,U R2 F' L' B2 D' B U' R' F U L F2 L2 B2 L2 D R2 U' D' B2 R2 ,R2 L3 LO L1 R1 LC R1 L3 RO L3 RC LO R2 LC L2  R1 LO R1 LC L1 RO L1 RC LO R2 LC L2 R3 RO R1  RC L1 LO L1 LC R1 LO R1 L1 LC L1 RO L2 RC R2  L2 RO L2 RC LO R2 LC L2 R2 RO L3 RC LO L1 R1  LC R3 L2 RO L2 R1 RC R3 L2 RO L2 R1 RC LO R3  LC L2 R2 ,290ms,887 (False)
2025-05-21 22:11:24,Fast,73,7.372,4.92,2.452,不错,FUBBURRRDLFDLRFBUUUDFRFBFBRRUDRDLULBUDBDLBLUDLFRDBLLFF,R' D F R2 U2 D' R U' B L' B2 U2 F2 R2 U' R2 L2 B2 D' B2 ,R3 LO R1 LC L1 RO L1 RC R1 RO R1 L3 RC LO L1  LC R2 L3 LO L1 R2 LC L2 R1 RO R1 L1 RC L3 R1  LO R3 LC L3 LO L1 R1 LC R2 RO R1 L2 RC L2 R2  RO L1 RC LO L1 LC R2 L3 LO L1 LC R2 RO L2 R1  RC R2 LO R1 L1 LC L2 RO L3 R1 RC R3 L2 ,221ms,828 (False)
2025-05-21 22:12:20,Fast,76,8.066,5.09,2.976,还得练,UFBRURDBLDDUFRLBUULUBUFULDRULDFDRFBBRBFBLLDRFRDFFBLLDR,F2 U L' F' R F2 B R2 D R F U' F2 L2 U R2 F2 B2 D R2 ,L2 RO L1 RC LO L1 R3 LC R1 L3 RO L3 R1 RC R3  LO R2 L1 LC L1 R2 RO L2 RC R1 RO R1 L3 RC L2  LO L1 LC R1 RO R1 L3 RC L1 R1 LO R1 L1 LC L3  R2 RO L3 RC LO L1 LC R2 L1 RO L1 R1 RC LO R3  LC L2 R2 RO L2 RC R2 LO L1 LC RO L3 R1 RC R1  L2 ,259ms,853 (False)
2025-05-21 22:14:16,Fast,68,6.821,4.94,1.881,真的牛逼,FDFUUFFLBDRDDRFUUULFRBFLUBRLLBUDBLRFDLUFLDBRBRRLUBDRBD,R2 U2 B L2 F2 R2 B' U2 L B' U2 F2 U' L2 U' L2 D2 L2 B2 D' ,R2 RO L1 RC LO L1 R2 LC R2 L1 RO L3 RC R2 RO  L2 RC LO R2 LC L2 R2 LO R2 LC L3 RO L3 RC R2  RO L3 RC LO L1 LC R1 RO R1 L1 RC L3 R2 LO R2  LC L2 R3 LO R3 LC L2 R3 RO R1 L2 RC L2 R2 L2  RO R1 RC LO R1 LC L2 R3 ,36ms,784 (False)
2025-05-21 22:44:55,Fast,71,7.362,4.98,2.382,调整对中后,FDUBUBFLLDLBFRBRURLFBDFUDBDLRBDDRRLBRDUFLFURFLLDUBRUUF,R' F' L2 U R2 F U B' R2 L B D L2 B2 U R2 L2 U L2 U' B2 ,RO R1 RC LO R1 LC L1 LO L1 R1 LC R3 L1 LO L1  R2 LC RO L2 R1 RC R3 L2 R2 RO L3 RC LO L1 LC  R3 RO R1 L2 RC L1 LO L1 R3 LC R1 L2 R2 RO L2  R1 RC LO R3 LC L2 R2 RO L3 RC LO L1 R1 LC R1  L2 RO L2 R1 RC R3 LO R2 LC L2 R1 ,410ms,805 (False)
2025-05-21 22:49:34,Fast,77,7.697,5.53,2.167,,UFRLUFFFDLDFBRBRLRLUFLFRBUURLFDDBLRDLDUDLFBBUDRBUBRBUD,R D L F R' D' F U B' D F R F2 U2 L2 B2 U' R2 D B2 R2 U ,L1 LO L1 R3 LC R3 L1 LO L1 R3 LC R2 RO R1 L1  RC L3 R3 LO R3 LC L3 LO L1 R3 LC R1 L2 RO L2  R1 RC LO R3 LC L2 R1 LO R1 LC L2 LO R1 LC RO  R1 L3 RC L3 R2 RO L3 RC LO L1 R2 LC R2 L3 RO  L3 RC R2 RO L1 RC LO L1 R2 LC L2 R2 RO L2 RC  R2 L1 ,368ms,872 (False)
2025-05-25 20:39:16,Fast,68,7.415,5.12,2.295,,ULRBURFRDRDBFRBDFLUBBDFULFLURBLDDFUDLDRLLLDUFUFBUBBFRR,F B R' U' B' L' F' R B' L U' F2 D F2 R2 U F2 B2 U B2 ,R3 LO R1 LC L3 RO L1 RC R2 RO L2 R1 RC LO R1  LC L2 R3 LO R1 LC L2 R2 L3 RO L1 R1 RC LO R3  LC L2 LO R2 LC L2 R1 LO R1 LC L2 RO L2 RC R2  RO L2 R1 RC LO R1 LC L2 R2 L1 RO L3 RC R2 RO  L1 RC LO L1 R2 LC R2 L2 ,220ms,782 (False)
2025-05-25 20:41:22,Fast,81,99.000,5.99,93.01,挂了,ULUBUFDFLDRBFRRRRRRUBBFLFLBRUUFDDFLUFDBBLULDDLDLUBRFBD,R' L' D' F' B2 D R2 L F' R2 B R2 U2 D L2 B2 D R2 L2 U B2 ,R3 RO R1 L2 RC R3 LO R3 LC L3 RO L3 RC R3 RO  R1 L2 RC R2 L1 RO L1 RC R2 RO L2 RC R1 LO R1  LC L3 RO L2 RC LO L1 R2 LC R2 L1 LO L1 R1 LC  R2 RO R1 L2 RC L2 LO R2 L1 LC L1 R2 RO L1 RC  LO L1 LC R2 L1 RO L1 RC R2 RO L2 RC R2 LO R2  LC L1 RO L3 RC R2 ,237ms,919 (False)
